,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,cluster
250,0.853,0.811,6.0,-4.927,0.0,0.0646,0.0439,0.000307,0.0703,0.9,114.964,283627.0,4.0,2
251,0.734,0.82,1.0,-4.598,1.0,0.0924,0.0163,1.48e-05,0.16,0.965,96.035,186893.0,4.0,0
252,0.668,0.739,4.0,-4.919,1.0,0.0308,0.0383,0.0,0.13,0.571,131.918,231467.0,4.0,0
253,0.444,0.669,8.0,-6.727,0.0,0.125,0.0669,0.0,0.124,0.44,183.441,177109.0,4.0,2
254,0.859,0.625,9.0,-4.234,0.0,0.13,0.0296,0.0,0.0537,0.71,102.072,222560.0,4.0,2
255,0.778,0.761,2.0,-5.529,1.0,0.0525,0.141,4.6e-05,0.0441,0.923,107.288,228000.0,4.0,0
256,0.581,0.651,7.0,-5.617,1.0,0.0392,0.143,1.05e-05,0.107,0.146,151.959,264600.0,4.0,3
257,0.703,0.79,1.0,-3.748,1.0,0.0353,0.0162,0.0,0.0639,0.917,97.016,212841.0,4.0,0
258,0.655,0.649,1.0,-5.653,0.0,0.089,0.0793,0.000393,0.117,0.759,86.968,229867.0,4.0,2
259,0.574,0.691,6.0,-5.103,1.0,0.035,0.0826,1.65e-05,0.149,0.195,91.969,259773.0,4.0,3
260,0.921,0.668,7.0,-8.73,1.0,0.235,0.0949,0.0,0.592,0.892,131.059,296587.0,4.0,1
261,0.523,0.828,1.0,-4.696,1.0,0.0762,0.0136,0.000255,0.165,0.476,96.952,214827.0,4.0,0
262,0.66,0.536,10.0,-8.786,0.0,0.29,0.233,0.00669,0.111,0.775,159.963,237800.0,4.0,2
263,0.412,0.77,11.0,-6.057,0.0,0.18,0.462,1.5e-06,0.0485,0.418,101.955,254493.0,3.0,4
264,0.534,0.543,3.0,-6.857,1.0,0.0245,0.579,0.0,0.112,0.418,78.996,231067.0,4.0,4
265,0.637,0.95,8.0,-4.4,1.0,0.109,0.00104,7.35e-06,0.288,0.511,142.018,200067.0,4.0,1
266,0.328,0.726,3.0,-3.935,1.0,0.0312,0.0286,0.000643,0.167,0.21,134.639,277387.0,4.0,3
267,0.449,0.776,2.0,-5.594,1.0,0.0322,0.00171,0.0,0.0698,0.198,148.11,269307.0,4.0,3
268,0.513,0.82,7.0,-5.428,1.0,0.0299,0.00192,2.83e-06,0.504,0.52,99.952,269400.0,4.0,1
269,0.567,0.58,4.0,-5.757,0.0,0.223,0.0084,5.37e-06,0.0342,0.46,157.596,265707.0,4.0,2
270,0.701,0.677,11.0,-6.591,0.0,0.147,0.0737,0.000162,0.187,0.367,99.271,226440.0,4.0,2
271,0.638,0.906,2.0,-4.824,1.0,0.0504,0.0662,6.88e-05,0.142,0.767,107.991,209200.0,4.0,0
272,0.405,0.632,2.0,-5.132,1.0,0.0273,0.0316,0.00251,0.112,0.141,145.936,292853.0,4.0,3
273,0.338,0.685,1.0,-5.178,1.0,0.0322,0.00052,0.000512,0.109,0.221,102.192,238173.0,4.0,3
274,0.74,0.845,6.0,-3.802,0.0,0.0338,0.00287,6.23e-06,0.115,0.749,126.607,236427.0,4.0,2
275,0.59,0.976,11.0,-4.866,0.0,0.0488,0.000154,0.293,0.155,0.686,114.996,213240.0,4.0,2
276,0.955,0.839,3.0,-3.399,0.0,0.127,0.0934,0.000175,0.099,0.825,108.955,222547.0,4.0,2
277,0.652,0.41,4.0,-8.323,0.0,0.158,0.333,0.0,0.064,0.495,75.09,303333.0,4.0,4
278,0.697,0.793,6.0,-4.699,0.0,0.323,0.0844,0.0,0.0619,0.56,89.767,238600.0,4.0,2
279,0.414,0.572,8.0,-3.918,1.0,0.0311,0.163,0.0,0.115,0.16,145.184,228280.0,4.0,3
280,0.791,0.863,3.0,-6.118,0.0,0.151,0.317,1.13e-06,0.27,0.742,97.035,264653.0,4.0,2
281,0.489,0.757,11.0,-4.062,0.0,0.0926,0.00981,0.0,0.234,0.567,168.004,267160.0,4.0,2
282,0.777,0.852,11.0,-5.329,1.0,0.0295,0.0299,0.000498,0.145,0.877,125.994,208040.0,4.0,0
